Dataset URL,Organisation,General classification of dataset type,Topic or theme,Point of Contact
https://www.data.qld.gov.au/dataset/soe2017-condition-of-riverine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-construction-and-demolition-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-construction-and-demolition-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-cultural-heritage-management-plans,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-cultural-heritage-places,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-cultural-heritage-search-requests,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-cultural-heritage-site-locations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-cyclone-activity,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-efficiency-of-the-daily-commute,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-erosion-prone-area,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-estuarine-wetlands-within-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-evaporation-rate,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extent-and-rate-of-change-in-estuarine-wetlands,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extent-and-rate-of-change-of-freshwater-wetland-systems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extent-and-rate-of-change-of-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extent-and-rate-of-change-of-remnant-native-vegetation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extent-of-endangered-of-concern-and-no-concern-at-present-regional-ecosystems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extreme-weather-events-days-with-very-heavy-rainfall,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-extreme-weather-events-hot-days,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-fragmentation-of-remnant-vegetation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-fraser-island-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-freshwater-wetland-systems-within-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-fugitive-emissions-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-gondwana-rainforests-of-australia-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-great-barrier-reef-world-heritage-condition,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-great-barrier-reef-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-historic-shipwrecks-and-aircraft-wrecks,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-household-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-household-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-housing-diversity-proportion-of-new-approved-residential-dwellings,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-increase-in-heavy-vehicles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-industrial-processes-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-interstate-commercial-and-industrial-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-interstate-construction-and-demolition-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-interstate-household-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-interstate-trackable-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-key-fish-stocks,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-land-clearing-impact-on-threatened-fauna-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-land-clearing-impact-on-threatened-flora-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-land-clearing-impact-on-woody-native-vegetation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-land-use-land-use-change-and-forestry-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-lead-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-local-heritage-places-and-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-main-material-types-littered,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-major-air-pollutants,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-major-threats-to-fauna-species,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-major-threats-to-flora-species,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-marine-parks-and-fish-habitat-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-mean-annual-temperature,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-nitrogen-dioxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-number-of-litter-items-for-different-site-types,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-number-of-litter-items-in-queensland,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-number-of-registered-vehicles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-ozone-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-particulate-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-per-capita-waste-generation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-percentage-of-the-network-with-reliable-travel-times,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-pressures-affecting-queenslands-aquatic-ecosystems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-pressures-affecting-riverine-ecosystems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-queensland-heritage-places,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-queensland-heritage-places-destroyed,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-queensland-open-house-events,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-queensland-places-in-the-national-heritage-list,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-riversleigh-section-of-the-australian-fossil-mammal-sites-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-sea-level,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-sea-surface-temperature,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-southern-oscillation-index,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-stationary-energy-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-storm-tide-inundation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-sulphur-dioxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-threatened-fauna-species-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-threatened-fauna-species-numbers,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-threatened-flora-species-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-threatened-flora-species-numbers,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-total-annual-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-trackable-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-trackable-waste-recovered,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-transport-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-use-of-bikeways-in-seq,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-vehicle-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-vehicle-kilometres-travelled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-visibility-reducing-particles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-volume-and-load-of-sewage-treatment-plants,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-waste-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2017-wet-tropics-of-queensland-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-agriculture-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-annual-rainfall,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-broad-vegetation-groups-within-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-broadacre-agriculture-production,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-carbon-monoxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-change-available-soil-land-resources,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-change-in-density-in-residential-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-change-in-ground-cover-levels,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-change-rural-land-use-extent,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-change-in-urban-land-use-extent,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-erosion-prone-area,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-commercial-and-industrial-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-commercial-and-industrial-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-condition-of-aquatic-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-condition-of-ecological-processes,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-condition-of-estuarine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-condition-of-marine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-condition-of-riverine-ecosystem-health,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-construction-and-demolition-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-construction-and-demolition-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-cultural-heritage-management-plans,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-cultural-heritage-places,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-cultural-heritage-search-requests,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-cultural-heritage-site-locations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-cyclone-activity,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-efficiency-of-the-daily-commute,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-estuarine-wetlands-within-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-evaporation-rate,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-extent-and-rate-of-change-of-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-extent-rate-change-riparian-vegetation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-extent-of-cropping,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-extent-of-endangered-of-concern-and-no-concern-at-present-regional-ecosystems,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-extreme-weather-events-hot-days,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-extreme-weather-events-days-with-very-heavy-rainfall,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-fragmentation-of-remnant-vegetation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-fraser-island-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-freshwater-wetland-systems-within-protected-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-fugitive-emissions-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-gondwana-rainforests-of-australia-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-great-barrier-reef-world-heritage-condition,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-great-barrier-reef-world-heritage-natural-criteria,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-horticulture-production,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-household-waste-landfilled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-household-waste-recovered-or-recycled,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-housing-diversity-in-queensland,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-increase-in-heavy-vehicles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-industrial-processes-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-interstate-commercial-and-industrial-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-interstate-construction-and-demolition-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-interstate-household-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-interstate-trackable-waste-received,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-key-fish-stocks,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-land-clearing-impact-on-threatened-fauna-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-land-clearing-impact-on-threatened-flora-habitat,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-land-clearing-impact-on-woody-native-vegetation,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-land-use-land-use-change-and-forestry-sector-greenhouse-gas-emissions,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-lead-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-livestock-meat-production,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-local-heritage-places-and-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-main-material-types-littered,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-major-air-pollutants-from-industry,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-major-threats-to-fauna-species,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-major-threats-to-flora-species,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-marine-parks-and-fish-habitat-areas,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-mean-annual-temperature,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-nitrogen-dioxide-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-number-of-litter-items-for-different-site-types,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-number-of-litter-items-in-queensland,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-number-of-registered-vehicles,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-ozone-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
https://www.data.qld.gov.au/dataset/soe2020-particulate-concentrations,environment-and-heritage-policy-programs,dataset,ENVIRONMENTAL IMPACTS,Kenneth HORRIGAN
